name,cutoff_rank,fees,location,course,exam_type,type,placement_rate
Indian Institute of Information Technology Ranchi,130,400000,Jharkhand,Computer Science;Electronics,JEE Main,Government,79
Indian Institute of Information Technology Kurnool,135,400000,Andhra Pradesh,Computer Science;Electronics,JEE Main,Government,78
Indian Institute of Information Technology Sonepat,140,400000,Haryana,Computer Science;Electronics,JEE Main,Government,77
Indian Institute of Information Technology Una,145,350000,Himachal Pradesh,Computer Science;Electronics,JEE Main,Government,76
Indian Institute of Information Technology Agartala,150,350000,Tripura,Computer Science;Electronics,JEE Main,Government,75
Indian Institute of Information Technology Kalyani,155,350000,West Bengal,Computer Science;Electronics,JEE Main,Government,74
Indian Institute of Information Technology Trichy,160,400000,Tamil Nadu,Computer Science;Electronics,JEE Main,Government,73
Indian Institute of Information Technology Visakhapatnam,165,400000,Andhra Pradesh,Computer Science;Electronics,JEE Main,Government,72
Vellore Institute of Technology,9000,1400000,Tamil Nadu,Computer Science;Electronics;Electrical;Mechanical,JEE Main,Private,92
SRM Institute of Science and Technology,10000,1200000,Tamil Nadu,Computer Science;Electronics;Electrical,JEE Main,Private,88
Manipal Institute of Technology,8000,1500000,Karnataka,Computer Science;Electronics;Electrical;Mechanical,JEE Main,Private,93
BITS Pilani Hyderabad,5000,1800000,Telangana,Computer Science;Electronics;Electrical;Mechanical,JEE Main,Private,95
BITS Pilani Dubai,6000,2500000,Dubai,Computer Science;Electronics,JEE Main,Private,94
JSS Academy of Technical Education,700,800000,Karnataka,Computer Science;Electronics;Electrical,JEE Main,Private,87
Ramaiah Institute of Technology,600,750000,Karnataka,Computer Science;Electronics;Electrical;Mechanical,JEE Main,Private,86
All India Institute of Medical Sciences Delhi,100,1000,Delhi,Medical Studies,NEET,Government,95
Christian Medical College Vellore,500,500000,Tamil Nadu,Medical Studies,NEET,Private,92
Andhra Medical College,150,15000,Andhra Pradesh,Medical Studies,NEET,Government,90
Osmania Medical College,200,20000,Telangana,Medical Studies,NEET,Government,88
Saveetha Medical College,800,1500000,Tamil Nadu,Medical Studies,NEET,Private,85
Bangalore Medical College,120,25000,Karnataka,Medical Studies,NEET,Government,92
Kasturba Medical College,600,800000,Karnataka,Medical Studies,NEET,Private,90
Institute of Aeronautical Engineering,1500,900000,Telangana,Computer Science;Electronics;Mechanical,JEE Main,Private,82
CMR University,1200,1200000,Karnataka,Computer Science;Electronics,JEE Main,Private,84
RV College of Engineering,800,900000,Karnataka,Computer Science;Electronics,JEE Main,Private,85
Presidency University,1500,700000,Karnataka,Computer Science;Electronics,JEE Main,Private,83
BIT Mesra,3000,700000,Jharkhand,Computer Science;Electronics;Electrical,JEE Main,Private,84
Amrita Vishwa Vidyapeetham,12000,1100000,Tamil Nadu,Computer Science;Electronics;Electrical,JEE Main,Private,85
Christ University,2000,800000,Karnataka,Computer Science;Electronics,JEE Main,Private,82
JNTU College of Engineering Hyderabad,200,300000,Telangana,Computer Science;Electronics;Electrical;Mechanical,JEE Main,Government,85
Osmania University,150,200000,Telangana,Computer Science;Electronics;Mechanical,JEE Main,Government,80
Netaji Subhas University of Technology,150,150000,Delhi,Computer Science;Electronics;Electrical,JEE Main,Government,88
Delhi Technological University,200,200000,Delhi,Computer Science;Electronics;Electrical;Civil,JEE Main,Government,87
